original_id	renamed_id
EX_h2o_e	EX_h2o_e
EX_o2_e	EX_o2_e
EX_co2_e	EX_co2_e
EX_leu__L_e	EX_leu__L_e
EX_cobalt2_e	EX_cobalt2_e
EX_zn2_e	EX_zn2_e
EX_so4_e	EX_so4_e
EX_spmd_e	EX_spmd_e
EX_ca2_e	EX_ca2_e
EX_nh4_e	EX_nh4_e
EX_arg__L_e	EX_arg__L_e
EX_gln__L_e	EX_gln__L_e
EX_mn2_e	EX_mn2_e
EX_hco3_e	EX_hco3_e
EX_mg2_e	EX_mg2_e
EX_ptrc_e	EX_ptrc_e
EX_fe2_e	EX_fe2_e
EX_cu2_e	EX_cu2_e
EX_k_e	EX_k_e
EX_no3_e	EX_no3_e
EX_fe3_e	EX_fe3_e
EX_mobd_e	EX_mobd_e
EX_ni2_e	EX_ni2_e
EX_na1_e	EX_na1_e
EX_cynt_e	EX_cynt_e
EX_h_e	EX_h_e
EX_pi_e	EX_pi_e
EX_photon410_e	EX_photon_410_e
EX_photon430_e	EX_photon_e
EX_photon450_e	EX_photon450_e
EX_photon470_e	EX_photon470_e
EX_photon490_e	EX_photon490_e
EX_photon510_e	EX_photon510_e
EX_photon530_e	EX_photon530_e
EX_photon550_e	EX_photon550_e
EX_photon570_e	EX_photon570_e
EX_photon590_e	EX_photon590_e
EX_photon610_e	EX_photon610_e
EX_photon630_e	EX_photon630_e
EX_photon650_e	EX_photon650_e
EX_photon670_e	EX_photon670_e
EX_photon690_e	EX_photon690_e
EX_meoh_e	EX_meoh_e
EX_cl_e	EX_cl_e
